"user_id","listing_id","period_start","period_end"
124200.0,3558405.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3474091.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
126051.0,3509879.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124713.0,3478850.0,"2025-10-24 00:00:00.000","2025-11-28 00:00:00.000"
124599.0,3474335.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3477336.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473835.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3477301.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124112.0,3558057.0,"2025-11-06 00:00:00.000","2025-12-05 00:00:00.000"
124376.0,3579192.0,"2025-10-09 00:00:00.000","2025-12-05 00:00:00.000"
124376.0,3578923.0,"2025-10-09 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474544.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124314.0,3476385.0,"2025-09-04 00:00:00.000","2025-09-07 00:00:00.000"
125904.0,3530672.0,"2025-09-23 00:00:00.000","2025-10-21 00:00:00.000"
124200.0,3558259.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
124610.0,3480042.0,"2025-09-10 00:00:00.000","2025-10-27 00:00:00.000"
124684.0,3556970.0,"2025-12-02 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3473942.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124112.0,3558018.0,"2025-11-13 00:00:00.000","2025-12-05 00:00:00.000"
126426.0,3511018.0,"2025-09-17 00:00:00.000","2025-11-04 00:00:00.000"
124610.0,3480594.0,"2025-09-06 00:00:00.000","2025-09-27 00:00:00.000"
124847.0,3476333.0,"2025-09-22 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3548356.0,"2025-10-01 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558089.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124684.0,3557383.0,"2025-11-08 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474676.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
126869.0,3539125.0,"2025-09-26 00:00:00.000","2025-10-22 00:00:00.000"
124599.0,3477407.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124713.0,3479622.0,"2025-10-23 00:00:00.000","2025-11-28 00:00:00.000"
124200.0,3474504.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3548897.0,"2025-10-01 00:00:00.000","2025-12-05 00:00:00.000"
126720.0,3539666.0,"2025-09-26 00:00:00.000","2025-09-26 00:00:00.000"
124390.0,3467089.0,"2025-09-01 00:00:00.000","2025-10-13 00:00:00.000"
124112.0,3558460.0,"2025-11-13 00:00:00.000","2025-12-05 00:00:00.000"
125359.0,3504234.0,"2025-09-29 00:00:00.000","2025-10-17 00:00:00.000"
124713.0,3478889.0,"2025-10-23 00:00:00.000","2025-11-28 00:00:00.000"
124599.0,3477524.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3477636.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473908.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124684.0,3556840.0,"2025-11-03 00:00:00.000","2025-11-05 00:00:00.000"
124599.0,3477301.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474192.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124639.0,3476181.0,"2025-09-04 00:00:00.000","2025-12-05 00:00:00.000"
123735.0,3467790.0,"2025-09-02 00:00:00.000","2025-09-02 00:00:00.000"
126620.0,356632.0,"2025-12-02 00:00:00.000","2025-12-05 00:00:00.000"
126620.0,356871.0,"2025-09-25 00:00:00.000","2025-11-29 00:00:00.000"
124535.0,3469999.0,"2025-09-30 00:00:00.000","2025-10-06 00:00:00.000"
124684.0,3557352.0,"2025-11-08 00:00:00.000","2025-12-05 00:00:00.000"
124850.0,3473544.0,"2025-09-03 00:00:00.000","2025-09-09 00:00:00.000"
125267.0,3530158.0,"2025-09-23 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474759.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3557847.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
125267.0,3481069.0,"2025-09-07 00:00:00.000","2025-09-22 00:00:00.000"
125393.0,3482151.0,"2025-09-08 00:00:00.000","2025-11-09 00:00:00.000"
127260.0,3532947.0,"2025-09-24 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473570.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
127211.0,3538160.0,"2025-09-26 00:00:00.000","2025-09-26 00:00:00.000"
124200.0,3474469.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
126645.0,3532398.0,"2025-09-24 00:00:00.000","2025-12-05 00:00:00.000"
124112.0,3558167.0,"2025-11-13 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3475001.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558733.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124610.0,3513119.0,"2025-09-18 00:00:00.000","2025-10-27 00:00:00.000"
124599.0,3477332.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474714.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
126437.0,3526018.0,"2025-11-04 00:00:00.000","2025-11-04 00:00:00.000"
124723.0,3471707.0,"2025-09-09 00:00:00.000","2025-12-05 00:00:00.000"
124384.0,3533818.0,"2025-10-15 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3476997.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473858.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3548401.0,"2025-10-01 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474583.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474614.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474150.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
125526.0,3561684.0,"2025-10-08 00:00:00.000","2025-11-07 00:00:00.000"
124200.0,3474506.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474157.0,"2025-09-30 00:00:00.000","2025-10-22 00:00:00.000"
124200.0,3558522.0,"2025-10-22 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3474068.0,"2025-12-03 00:00:00.000","2025-12-05 00:00:00.000"
124384.0,3533450.0,"2025-10-15 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558102.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3473439.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3474176.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
125888.0,3507117.0,"2025-09-15 00:00:00.000","2025-10-21 00:00:00.000"
124200.0,3474371.0,"2025-10-28 00:00:00.000","2025-12-05 00:00:00.000"
124200.0,3558647.0,"2025-10-23 00:00:00.000","2025-12-05 00:00:00.000"
126230.0,3535360.0,"2025-09-26 00:00:00.000","2025-10-29 00:00:00.000"
125452.0,3548526.0,"2025-09-30 00:00:00.000","2025-12-05 00:00:00.000"
125281.0,3486037.0,"2025-09-29 00:00:00.000","2025-12-05 00:00:00.000"
126243.0,3547527.0,"2025-10-26 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3477527.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
124599.0,3474193.0,"2025-11-07 00:00:00.000","2025-12-05 00:00:00.000"
125731.0,3509217.0,"2025-09-16 00:00:00.000","2025-09-21 00:00:00.000"
